Customer_Name,Email,Age,City,Product_Category,Purchase_Amount,Purchase_Date,Marketing_Channel,Response,Month,Age_Group,High_value_customer
Caitlin Ramsey,Henry28@Example.Com,,Stevenville,Beauty,515.46,11/24/2025,Email,No,November,18-25,Yes
Dennis Sanford,Jenniferjohnson@Example.Org,47,Unknown,Sports,537,4/3/2026,Email,Yes,March,36-50,Yes
Tiffany Terry,Awebb@Example.Net,19,Unknown,Beauty,179.56,9/22/2025,Sms,No,September,18-25,No
Jessica Dalton,Dscott@Example.Org,31,Adamsborough,Electronics,556.88,12/14/2025,Sms,No,December,26-35,Yes
Robert Cole,Annflores@Example.Net,30,Unknown,Sports,602.51,2/27/2026,Social Media,Yes,February,26-35,Yes
Henry Blanchard,Michael65@Example.Com,58,Unknown,Electronics,512.24,5/10/2025,Ads,No,October,50+,Yes
Nicholas Erickson,Newtonmichael@Example.Net,57,Lake Tiffany,Beauty,934.23,10/22/2025,Social Media,No,October,50+,Yes
Dr. John Mccann Jr.,Shepherdaustin@Example.Com,56,Unknown,Apparel,951.33,9/28/2025,Sms,No,September,50+,Yes
Brian Foster,Tyronenunez@Example.Org,59,Unknown,Sports,823.87,2/27/2026,Sms,Yes,February,50+,Yes
Erin Johnson,Rsolomon@Example.Net,22,Unknown,Apparel,777.82,3/11/2025,Ads,No,November,18-25,Yes
Kristina Obrien,Millstaylor@Example.Net,61,Unknown,Beauty,651.83,6/1/2026,Social Media,No,January,50+,Yes
Ryan Lewis,Clarkjamie@Example.Com,31,Unknown,Electronics,461.93,9/27/2025,Sms,No,September,26-35,No
Teresa Davis,Williamgrant@Example.Org,,Unknown,Sports,787.58,12/26/2025,Ads,No,December,18-25,Yes
Kyle Bradley Dvm,Masonjames@Example.Net,52,Unknown,Electronics,211.66,3/10/2025,Sms,Yes,October,50+,No
Beverly White,Robinwelch@Example.Com,38,Unknown,Sports,653.79,1/1/2026,Sms,No,January,36-50,Yes
Michael Moore,Nmoore@Example.Com,40,East Rubenfort,Sports,57.34,12/17/2025,Email,No,December,36-50,No
Robert Blackburn,Paul03@Example.Org,52,Lake Tammy,Sports,775.16,1/26/2026,Ads,No,January,50+,Yes
Ashley Wallace,Ifox@Example.Org,42,Lake Elaineshire,Sports,546.87,3/19/2026,Ads,Yes,March,36-50,Yes
Jacqueline Ward,Danielle41@Example.Com,53,Unknown,Electronics,200.07,3/17/2026,Email,No,March,50+,No
William Francis,James88@Example.Com,18,Unknown,Electronics,776.24,11/29/2025,Ads,No,November,18-25,Yes
Walter Moon,Milesangela@Example.Net,19,Unknown,Electronics,540.35,1/1/2026,Ads,Yes,January,18-25,Yes
Maria Taylor,Csmith@Example.Net,32,Unknown,Sports,842.23,6/11/2025,Ads,Yes,November,26-35,Yes
Charles Rodriguez,Courtney65@Example.Org,45,Unknown,Apparel,143.12,11/11/2025,Ads,Yes,November,36-50,No
Anita Peterson,Stephanie70@Example.Net,32,Unknown,Apparel,174.72,2/26/2026,Email,Yes,February,26-35,No
Joyce Smith,Lgay@Example.Org,47,Unknown,Beauty,250.24,4/3/2026,Social Media,Yes,March,36-50,No
Terry Smith,Nhernandez@Example.Net,28,Unknown,Sports,206.92,12/3/2026,Email,Yes,March,26-35,No
Jo Robbins,Stevensonsarah@Example.Net,28,Unknown,Apparel,839.5,11/27/2025,Ads,Yes,November,26-35,Yes
Laura Grant,Morandustin@Example.Com,24,Unknown,Beauty,894.65,9/1/2026,Social Media,Yes,January,18-25,Yes
Kathryn Murray,Benjamin09@Example.Com,25,Unknown,Sports,509.37,10/1/2026,Sms,No,January,18-25,Yes
Amy Mendoza,Beverlyevans@Example.Com,51,Unknown,Apparel,227.56,10/15/2025,Email,No,October,50+,No
Elizabeth Gardner,Ochen@Example.Com,39,Unknown,Apparel,772.15,12/21/2025,Ads,No,December,36-50,Yes
Logan Wade,Jonesgabriella@Example.Com,40,Unknown,Beauty,80.96,2/3/2026,Email,Yes,March,36-50,No
Michael Adams,Evansmelissa@Example.Org,40,Unknown,Beauty,205.46,2/11/2025,Sms,No,November,36-50,No
Amber Hernandez,Thomaswilliams@Example.Org,62,Unknown,Electronics,126.77,9/11/2025,Sms,No,November,50+,No
Veronica Ortiz,Qcastro@Example.Net,57,Kevinmouth,Apparel,692.21,5/12/2025,Ads,No,December,50+,Yes
Nicholas Lewis,Lindsey06 @ Example.Org,26,Tonyport,Electronics,90.25,2/20/2026,Ads,Yes,February,26-35,No
Crystal Pena,Robert16@Example.Com,25,Unknown,Apparel,58.78,2/19/2026,Social Media,Yes,February,18-25,No
Jack Hebert,Adrienne48@Example.Net,61,Unknown,Sports,476.05,6/11/2025,Sms,Yes,November,50+,No
Kelsey Johnson,Kcarpenter@Example.Com,41,Unknown,Beauty,88.82,12/10/2025,Sms,Yes,October,36-50,No
Melissa Burke,Vadams@Example.Org,35,Lake William,Apparel,555.06,6/11/2025,Sms,No,November,26-35,Yes
Brittany Arroyo,Zmendez@Example.Net,57,Unknown,Electronics,914.67,11/21/2025,Ads,Yes,November,50+,Yes
Christopher Harrison,Nwilliams@Example.Net,57,Unknown,Beauty,696.12,9/27/2025,Email,Yes,September,50+,Yes
Megan Wagner,Christopher69@Example.Com,28,Unknown,Apparel,199.3,10/11/2025,Sms,No,November,26-35,No
Anthony Garcia,Christopher40@Example.Org,57,Unknown,Beauty,46.64,2/26/2026,Email,No,February,50+,No
Thomas Miller,Bmoore@Example.Net,52,South Elizabeth,Beauty,844.17,8/12/2025,Ads,Yes,December,50+,Yes
Sarah Ballard,Zlopez@Example.Com,22,Unknown,Beauty,162.33,2/14/2026,Ads,No,February,18-25,No
Daniel Weaver,Jessica24 @ Example.Net,64,Unknown,Sports,11.82,1/31/2026,Email,Yes,January,50+,No
Laura Vasquez,Wolfgloria@Example.Net,40,Jonathanside,Beauty,372.63,2/28/2026,Social Media,Yes,February,36-50,No
Stacey Glover,Hschwartz@Example.Com,36,Unknown,Beauty,901.74,10/14/2025,Sms,Yes,October,36-50,Yes
Kimberly Shelton,Mariajones@Example.Org,39,Unknown,Electronics,94.25,1/12/2025,Social Media,Yes,December,36-50,No
John Wright,Paul17@Example.Net,49,Unknown,Apparel,981.02,10/28/2025,Sms,No,October,36-50,Yes
Dominic Ware,Zkelly@Example.Com,49,West Angelica,Sports,494.55,10/11/2025,Social Media,Yes,November,36-50,No
Marvin Miranda,Ramosleslie@Example.Org,,Unknown,Electronics,437.36,12/3/2026,Social Media,No,March,18-25,No
Joanne Kline,Dstafford@Example.Net,20,Unknown,Sports,755.64,1/2/2026,Social Media,No,February,18-25,Yes
Brandon Pennington,Arthur79@Example.Net,65,Unknown,Apparel,420.1,4/10/2025,Sms,No,October,50+,No
James Trevino,Shanedunlap@Example.Net,48,Lake Susan,Apparel,884.52,4/11/2025,Sms,Yes,November,36-50,Yes
Mr. Timothy Gibbs,Jonesdonna@Example.Com,40,Unknown,Electronics,527.61,1/31/2026,Sms,Yes,January,36-50,Yes
Diane Sellers,Zsanders@Example.Net,35,Unknown,Apparel,528.54,9/26/2025,Sms,Yes,September,26-35,Yes
Matthew Evans,Christopher70@Example.Net,48,Unknown,Apparel,41.5,8/2/2026,Sms,No,February,36-50,No
Larry Pugh,Ann36@Example.Net,54,Unknown,Sports,836.03,7/11/2025,Ads,Yes,November,50+,Yes
Maureen Burns,Gcortez@Example.Net,25,Unknown,Electronics,203.32,7/1/2026,Ads,No,January,18-25,No
Elizabeth Bass,Amy05@Example.Net,24,Unknown,Sports,185.86,2/24/2026,Sms,Yes,February,18-25,No
Danielle Larson,Meganturner@Example.Org,24,Unknown,Sports,135.74,11/18/2025,Social Media,No,November,18-25,No
Anna Turner,Ap@el@Example.Net,,Unknown,Electronics,450.41,9/25/2025,Social Media,No,September,18-25,No
Stephanie Franklin,Kimberly86@Example.Com,52,Unknown,Electronics,338.17,3/11/2025,Ads,No,November,50+,No
Rachel Williams,Williamstimothy@Example.Org,54,Unknown,Electronics,985.81,4/3/2026,Social Media,Yes,March,50+,Yes
Derek Schmitt,Ramirezjuan@Example.Com,23,Unknown,Electronics,632.05,4/3/2026,Ads,Yes,March,18-25,Yes
Janice Hensley,Donna17 @ Example.Net,56,Unknown,Electronics,692.21,3/20/2026,Sms,Yes,March,50+,Yes
Zachary Clark,Twilson@Example.Net,43,Unknown,Beauty,364.86,12/23/2025,Social Media,Yes,December,36-50,No
Alex Hall,Leblancanthony@Example.Net,47,Unknown,Electronics,871.52,10/19/2025,Social Media,No,October,36-50,Yes
Madison Mack,Millerangela@Example.Net,31,Unknown,Beauty,379.88,10/28/2025,Social Media,Yes,October,26-35,No
Lauren Hill,Bobby39@Example.Net,36,Unknown,Sports,33.96,8/1/2026,Sms,Yes,January,36-50,No
Stephanie Miller,Seanhoward@Example.Com,21,Unknown,Apparel,286.03,12/28/2025,Ads,Yes,December,18-25,No
Chad Quinn,Kevin90@Example.Com,24,Unknown,Beauty,971.44,11/12/2025,Email,Yes,December,18-25,Yes
Sarah Gordon,Michael81@Example.Org,45,Unknown,Electronics,545.55,12/3/2026,Email,No,March,36-50,Yes
Daniel Jenkins,Shawnfisher@Example.Net,24,East Scott,Sports,772.29,11/3/2026,Social Media,Yes,March,18-25,Yes
Cynthia Morgan,Chloemcclain@Example.Net,61,Unknown,Sports,919.83,2/3/2026,Sms,Yes,March,50+,Yes
Christine Lewis,Leslie15@Example.Org,,Unknown,Beauty,585.91,1/18/2026,Email,No,January,18-25,Yes
Dana Cooper,Marcus26@Example.Net,22,Unknown,Apparel,367.96,9/23/2025,Ads,No,September,18-25,No
Paula Russell,Kellyfranklin@Example.Org,32,Unknown,Beauty,302.47,2/3/2026,Ads,No,March,26-35,No
Stephanie Sanchez,Christinestone@Example.Com,50,Charlesbury,Sports,898.46,11/1/2026,Email,Yes,January,36-50,Yes
John Watson,Kyle03@Example.Org,22,Unknown,Electronics,288.29,1/28/2026,Sms,Yes,January,18-25,No
Dennis Shaw,Megancarroll@Example.Net,58,Unknown,Beauty,413.99,11/28/2025,Ads,No,November,50+,No
Amanda Sanders,Dylan44@Example.Com,39,Bushberg,Sports,367.74,10/21/2025,Ads,No,October,36-50,No
Anthony Rodriguez,Lindsayalexander@Example.Org,32,Unknown,Sports,651.34,2/16/2026,Email,Yes,February,26-35,Yes
Shelly Michael,Joseph14@Example.Org,22,Carolynton,Electronics,839.61,10/12/2025,Email,Yes,December,18-25,Yes
Debbie Williams,Grayedward@Example.Com,,West Louisview,Beauty,326.45,6/12/2025,Sms,Yes,December,18-25,No
Whitney Boyd,Morenoann@Example.Com,27,Unknown,Apparel,635.9,10/21/2025,Email,Yes,October,26-35,Yes
Cynthia Williamson,Kendrayoung@Example.Com,62,Unknown,Apparel,771.63,6/2/2026,Social Media,No,February,50+,Yes
Amber Moore,Sanchezdeborah@Example.Net,37,New Matthew,Sports,767.03,8/11/2025,Ads,No,November,36-50,Yes
Jacob Odonnell,Kestes@Example.Com,32,Unknown,Electronics,862.19,2/1/2026,Ads,No,January,26-35,Yes
Stephanie Andrade,Alexandra87@Example.Net,,Unknown,Apparel,60.9,12/3/2026,Ads,Yes,March,18-25,No
Pamela Lopez,Ryan81@Example.Org,38,East Richardton,Beauty,336.07,9/27/2025,Email,No,September,36-50,No
Michael Gardner,Dhowell@Example.Net,59,Unknown,Apparel,275.7,12/12/2025,Sms,Yes,December,50+,No
Gina Garcia,Ilopez@Example.Com,35,Michaelshire,Apparel,52.23,1/22/2026,Email,No,January,26-35,No
Dakota Russell,Crystal16@Example.Net,24,Unknown,Beauty,88.56,12/26/2025,Sms,Yes,December,18-25,No
Theresa Park,Bethany82 @ Example.Net,52,Unknown,Sports,807.63,2/28/2026,Social Media,Yes,February,50+,Yes
Joel Walsh,Spencersabrina@Example.Org,38,Unknown,Beauty,939.91,11/18/2025,Ads,Yes,November,36-50,Yes
Christopher Hogan,Aliciapeterson@Example.Net,40,Unknown,Sports,503.92,11/20/2025,Ads,Yes,November,36-50,Yes
Julie Meyer,Hoffmanricardo@Example.Net,,Darrenland,Beauty,866.88,3/22/2026,Email,Yes,March,18-25,Yes
Kellie Kelly,Marshallalan @ Example.Org,28,Unknown,Apparel,162.03,2/12/2025,Social Media,No,December,26-35,No
Bryan Beck,Jon@hanhernandez@Example.Com,24,West Danielberg,Beauty,440.65,2/26/2026,Sms,Yes,February,18-25,No
John Hernandez,Pamela70@Example.Net,56,Unknown,Sports,57.57,11/26/2025,Sms,Yes,November,50+,No
Robin Murphy,Slyons@Example.Com,,Unknown,Beauty,882.45,11/11/2025,Sms,No,November,18-25,Yes
Rachel Hale,Csmith@Example.Net,32,Unknown,Beauty,218.3,5/10/2025,Sms,Yes,October,26-35,No
Mr. Marcus Gonzales,Browngeoffrey@Example.Net,56,Unknown,Beauty,48.98,11/3/2026,Email,No,March,50+,No
Adrian Ortega,Karinahernandez@Example.Org,61,Unknown,Beauty,828.57,6/12/2025,Email,No,December,50+,Yes
Stephanie Simon,Keithwilliams@Example.Net,62,Unknown,Apparel,796.97,9/1/2026,Ads,Yes,January,50+,Yes
Matthew Mills,Moralesdonna@Example.Com,55,Unknown,Electronics,805.95,6/10/2025,Ads,Yes,October,50+,Yes
Timothy Day,Zmorris@Example.Org,,Unknown,Sports,434.58,10/15/2025,Ads,Yes,October,18-25,No
Jason Williams,Jessica57@Example.Org,26,Unknown,Beauty,929.28,11/3/2026,Ads,No,March,26-35,Yes
Daniel Thomas,Daniel22@Example.Com,26,Unknown,Electronics,823.64,12/13/2025,Ads,Yes,December,26-35,Yes
Jason Willis,Mitchellcrystal@Example.Com,26,Unknown,Apparel,367.01,6/12/2025,Email,No,December,26-35,No
Gregory Gordon,Lsnyder@Example.Org,18,Unknown,Sports,144.71,2/22/2026,Ads,No,February,18-25,No
Megan Ramos,Andrewstimothy@Example.Org,57,Carterport,Beauty,812.04,7/10/2025,Sms,Yes,October,50+,Yes
Holly Alexander,Odomkevin@Example.Net,58,Unknown,Apparel,881.42,3/18/2026,Ads,No,March,50+,Yes
Raymond Wheeler,Travis18@Example.Net,23,Unknown,Apparel,996.69,1/30/2026,Email,Yes,January,18-25,Yes
Mary Thomas,Marywebb@Example.Com,59,Unknown,Sports,207.48,3/16/2026,Sms,No,March,50+,No
Olivia Hernandez,John94@Example.Org,35,Unknown,Electronics,816.17,4/3/2026,Social Media,No,March,26-35,Yes
Leah Harper,Barnesterry@Example.Net,59,Unknown,Apparel,707.58,9/28/2025,Email,No,September,50+,Yes
Raymond Valentine,Shannon12@Example.Org,31,Unknown,Apparel,135.09,10/30/2025,Social Media,Yes,October,26-35,No
Lauren Norton,Erikgarcia @ Example.Org,22,Unknown,Apparel,755.2,3/18/2026,Ads,No,March,18-25,Yes
Kimberly Perkins,Lopezsamuel @ Example.Com,59,Unknown,Apparel,390.86,1/23/2026,Sms,Yes,January,50+,No
Nancy Simmons,Richard12@Example.Org,37,Unknown,Sports,128.66,1/27/2026,Sms,No,January,36-50,No
Steven Shea,Nrandall@Example.Com,30,Unknown,Electronics,449.59,8/10/2025,Email,No,October,26-35,No
Cassandra Orr,K@herine62@Example.Org,23,Unknown,Beauty,282.85,2/27/2026,Email,No,February,18-25,No
Jonathan Woods,W@sonvictoria@Example.Com,,Unknown,Sports,698.39,4/3/2026,Social Media,Yes,March,18-25,Yes
William Morris,Kyledavis@Example.Net,55,Jamesbury,Electronics,297.75,9/28/2025,Social Media,No,September,50+,No
Mrs. Martha Campbell,Cassandrasmall@Example.Com,50,Unknown,Sports,360.82,5/3/2026,Sms,Yes,March,36-50,No
Ashley Harper,Hbowen@Example.Com,18,Woodshire,Apparel,408.72,7/11/2025,Sms,No,November,18-25,No
Martin Christian,M@thew18@Example.Com,30,Unknown,Electronics,388.89,9/28/2025,Sms,Yes,September,26-35,No
Brian Solis,Uhayes@Example.Net,38,Unknown,Beauty,411.15,12/23/2025,Ads,No,December,36-50,No
Mark Moore,P@tylivingston@Example.Com,22,Jenniferland,Apparel,172.54,9/28/2025,Email,No,September,18-25,No
Jennifer Miller,Coxgina@Example.Org,55,Unknown,Apparel,46.88,11/23/2025,Sms,Yes,November,50+,No
Amy Wright,Goodwindaniel@Example.Com,40,Unknown,Apparel,834.68,1/31/2026,Sms,Yes,January,36-50,Yes
Kristin Taylor,Adam45@Example.Com,46,Unknown,Sports,263.81,12/28/2025,Email,No,December,36-50,No
Gregory Brown,Danielle60@Example.Net,30,Unknown,Electronics,540.7,10/11/2025,Social Media,Yes,November,26-35,Yes
Steven Christensen,Zachary89@Example.Net,29,Unknown,Sports,363.97,11/24/2025,Ads,Yes,November,26-35,No
Nichole Walker,Ttrevino@Example.Net,18,Unknown,Electronics,50.04,11/22/2025,Social Media,No,November,18-25,No
Kathleen Simon,Pwilliams@Example.Net,,Unknown,Apparel,82.14,11/2/2026,Ads,Yes,February,18-25,No
Deanna Shah,W@sonallison @ Example.Com,55,South Michael,Apparel,325.45,1/11/2025,Sms,Yes,November,50+,No
Ronald Salazar,Cherylsmith@Example.Org,52,Unknown,Apparel,100.71,5/10/2025,Email,Yes,October,50+,No
Jennifer Blake,Karen13@Example.Com,47,Unknown,Beauty,635.69,10/14/2025,Social Media,No,October,36-50,Yes
Terry Cortez,Rporter@Example.Net,27,Unknown,Sports,866.27,1/14/2026,Email,No,January,26-35,Yes
Sandra Miller,Scordova@Example.Org,39,Rogersshire,Electronics,774.44,1/18/2026,Sms,Yes,January,36-50,Yes
Danny Woods,Sandra07@Example.Org,46,Unknown,Apparel,788.61,12/12/2025,Social Media,No,December,36-50,Yes
Taylor Jackson,Wdudley@Example.Net,38,Unknown,Apparel,664.71,1/27/2026,Email,No,January,36-50,Yes
Donna Mitchell,Charles04@Example.Net,40,Unknown,Apparel,818.41,1/23/2026,Ads,Yes,January,36-50,Yes
Jimmy Johnson,Gturner@Example.Net,35,Unknown,Electronics,333.6,2/11/2025,Sms,Yes,November,26-35,No
Michelle Collins,Stephanie64@Example.Net,55,Ryanburgh,Sports,929.73,1/26/2026,Ads,No,January,50+,Yes
Roger Jones,Bobbyjackson@Example.Com,42,Butlerberg,Sports,157.35,10/28/2025,Social Media,Yes,October,36-50,No
Jordan Rocha,Robert01 @ Example.Net,53,Unknown,Electronics,266.47,11/13/2025,Email,No,November,50+,No
Michael Howard,Wilsoncorey@Example.Com,56,Unknown,Sports,639.68,1/28/2026,Email,Yes,January,50+,Yes
Tara Guerrero,Gregorythomas@Example.Org,41,Unknown,Apparel,941.94,10/11/2025,Sms,Yes,November,36-50,Yes
Logan Turner,Tonyaharrison@Example.Com,58,Unknown,Electronics,803.56,9/29/2025,Social Media,No,September,50+,Yes
Dr. Richard Suarez,Kh@field@Example.Net,,Unknown,Beauty,130.56,11/15/2025,Social Media,Yes,November,18-25,No
Zachary Patterson,Antoniorios@Example.Net,46,Unknown,Beauty,360.31,1/3/2026,Ads,No,March,36-50,No
Candice Robinson,Lanecynthia@Example.Org,48,Unknown,Electronics,39.3,1/13/2026,Email,Yes,January,36-50,No
Jeffrey Boyer,Jmitchell@Example.Com,62,Unknown,Beauty,627.06,3/10/2025,Sms,Yes,October,50+,Yes
Rose Fuller,Scottward@Example.Net,47,Unknown,Beauty,772.81,11/15/2025,Email,No,November,36-50,Yes
Robert Pruitt,Zgardner@Example.Org,60,New Cheryl,Apparel,772.64,1/17/2026,Email,Yes,January,50+,Yes
Colleen Collins,Zesparza@Example.Org,20,Unknown,Beauty,274.43,3/1/2026,Sms,Yes,January,18-25,No
Julie Wood,James31@Example.Com,43,Unknown,Beauty,27.87,11/10/2025,Email,Yes,October,36-50,No
Jill Brown,Coxangela@Example.Net,20,Unknown,Apparel,72.75,9/11/2025,Sms,No,November,18-25,No
Sarah Parsons,Lturner@Example.Org,59,Ramseyshire,Sports,73.19,2/15/2026,Social Media,No,February,50+,No
Carlos Griffith,Erin72@Example.Com,24,North Jose,Beauty,951.61,2/2/2026,Email,No,February,18-25,Yes
Tyler Shea,Unixon@Example.Org,63,Georgefurt,Sports,187.72,9/12/2025,Social Media,Yes,December,50+,No
Jeremy Chavez,Lesteranthony@Example.Org,24,Unknown,Electronics,924.56,11/25/2025,Email,No,November,18-25,Yes
Crystal Delacruz,Clarkadam@Example.Com,19,East Jason,Apparel,619.26,6/2/2026,Email,No,February,18-25,Yes
Amber Morales,M@thewherrera@Example.Net,29,Unknown,Apparel,88.61,2/11/2025,Ads,No,November,26-35,No
Julie Munoz,Harriscourtney@Example.Org,33,Unknown,Apparel,714.18,1/2/2026,Email,Yes,February,26-35,Yes
Margaret Mcbride,Sherylsmith@Example.Org,,Unknown,Sports,570.65,9/24/2025,Ads,Yes,September,18-25,Yes
Ryan Mccoy,Wmiller@Example.Com,54,Unknown,Sports,471.02,11/16/2025,Email,Yes,November,50+,No
Jessica Mccarthy,Hhoover@Example.Com,60,Unknown,Electronics,757.06,4/10/2025,Sms,Yes,October,50+,Yes
Sharon White,Frazierrobert@Example.Com,43,Unknown,Beauty,502.59,10/24/2025,Email,No,October,36-50,Yes
Stephanie Rivera,Stevenhickman@Example.Net,37,Unknown,Apparel,989.64,1/10/2025,Social Media,Yes,October,36-50,Yes
Janet Smith,Hooperjoseph@Example.Org,24,East Nancy,Electronics,946.11,1/3/2026,Ads,Yes,March,18-25,Yes
Ethan Davis,Scottburgess@Example.Com,64,Denisebury,Sports,644.92,1/3/2026,Email,No,March,50+,Yes
Jill Mcconnell,Mcgeejamie@Example.Net,,Unknown,Electronics,832.06,12/18/2025,Ads,Yes,December,18-25,Yes
Amy Perez,Jennifer99@Example.Com,57,Unknown,Apparel,978.73,9/12/2025,Sms,No,December,50+,Yes
Matthew Webb,Mejiadonald@Example.Org,41,West Terri,Electronics,763.93,2/1/2026,Email,Yes,January,36-50,Yes
Lindsey Castro,Paul64@Example.Org,33,Unknown,Electronics,364.48,12/24/2025,Social Media,No,December,26-35,No
Charles Crawford,Gutierrezbrian @ Example.Com,41,Unknown,Apparel,679.83,11/22/2025,Email,No,November,36-50,Yes
Tammy Faulkner,Gibsonjennifer@Example.Org,61,Bradfordmouth,Apparel,407.79,5/1/2026,Email,Yes,January,50+,No
Sydney Young,Brian88@Example.Net,53,Unknown,Sports,377.64,3/21/2026,Sms,No,March,50+,No
Alexandria Stein,Potterdana@Example.Net,46,Unknown,Beauty,286.36,3/14/2026,Ads,Yes,March,36-50,No
Jenna Burke,Andreamills@Example.Net,28,Unknown,Sports,627.08,1/27/2026,Sms,Yes,January,26-35,Yes
